10
1000000000,3966,9659,8352,6190,4217,875,7720,6975,6665
1589,1000000000,4904,6280,8894,2298,7916,1165,8667,8699
2153,1287,1000000000,5954,1369,3864,3763,5311,3128,8219
8798,4248,1268,1000000000,6338,3504,3571,3370,2287,7441
6241,5231,8526,5509,1000000000,556,5994,4899,1555,7932
8379,971,5887,1302,5549,1000000000,2050,5335,5892,4515
5298,1503,5169,5657,8891,9510,1000000000,8090,9993,3324
2946,589,2309,6777,8034,6631,6711,1000000000,878,3447
6947,4747,744,1307,2202,6360,7085,2974,1000000000,1551
5302,8304,3072,8412,8914,9808,7023,4502,8821,1000000000
